IDALU,SEXO,ESTUDIMARE,ESTUDIPARE,GUARDERIA,REPITE,TESTUDIO,AYUDAPADRES,SINAYUDA,MARGINADO,SOCIABLE,INTEGRADO,INCOMODO,SOLO,ACOSADO,ISEC,MediaLengua,MediaMates,mediaFisica,MediaSYC,CAEBIEN
20849,1,2,4,3,1,3,1,0,1,3,3,1,1,1,0.46655,492.2738608,424.5966116,497.4059798,480.861599,1
20335,1,4,4,2,1,4,0,0,1,4,4,2,1,2,0.28724,590.4453022,478.4035158,515.2301574,587.0226972,1
8624,2,8,8,2,0,3,0,0,1,4,4,1,1,1,-0.18168,393.933512,409.327289,360.1338502,465.5434076,1
14505,1,4,4,1,0,1,0,0,1,3,3,3,1,1,0.73644,541.4662354,469.2566604,453.4062804,506.8670106,1
11638,1,2,6,1,1,4,1,0,1,3,4,1,1,3,1.05191,614.438001,681.8960502,568.6022396,644.0564244,1
25632,1,8,1,2,0,2,0,0,1,4,4,1,1,1,1.22369,216.5758962,367.3516266,308.1624494,269.9594006,1
28254,1,5,8,1,0,1,0,1,2,4,4,2,2,2,-0.37127,386.297825,368.203351,485.0600056,469.1047324,1
25608,1,3,3,4,1,4,1,0,1,3,4,1,1,1,0.03136,593.947522,504.673545,572.5365164,551.7751132,1
23945,1,8,8,4,1,3,0,0,2,3,2,2,2,1,-0.406,347.9258394,425.837673,245.956489,346.9736598,0
13902,2,2,8,3,1,2,0,0,2,3,3,2,3,1,0.05562,332.9328854,458.7970772,401.2114138,308.1320822,1
20908,1,6,6,1,0,2,0,1,1,4,3,2,1,1,-1.09681,505.6535194,412.175811,468.0886478,481.8841528,1
23834,2,6,6,1,0,9,1,0,1,4,4,1,1,1,-0.83564,308.0923586,360.8930144,362.9286998,334.8138948,1
2402,2,8,8,2,1,4,0,0,3,3,3,2,2,2,-0.12411,521.0243482,498.923489,568.1944084,451.2500192,1
304,2,8,8,3,1,3,0,0,1,3,4,1,1,1,-0.10324,463.3882046,552.0499344,475.3825312,495.307823,1
12807,2,4,4,1,1,4,0,0,1,3,3,2,1,1,0.97559,597.1318706,570.3150928,552.4193372,667.1807408,1
16711,1,8,8,3,0,2,1,0,1,3,4,1,1,1,-0.44279,458.2734266,380.1618904,460.480344,385.5748878,1
28635,1,8,8,3,1,4,0,1,1,3,3,1,1,1,0.96403,557.3497914,485.0783138,606.6813868,553.219424,1
